block_id,block_type,grid_width,grid_height,area_cells,area_m2,original_x,original_y,original_z,vertices,faces,file_size_mb,processing_time,deadline
4392_673_000,trestle,22,16,352,352.0,21.89364599999999,15.732179999999998,6.841145999999998,15906,9081,0.3226776123046875,0.0401177406311035,2025-11-05
4392_683_000,trestle,22,15,330,330.0,21.87912,15.063950000000002,6.790341999999999,14737,8449,0.290924072265625,0.0439302921295166,2025-11-05
4392_693_000,trestle,22,15,330,330.0,21.87912,15.063948,6.790343999999999,14738,8452,0.2894744873046875,0.0466816425323486,2025-07-16
4393_126_000,trestle,14,6,84,84.0,14.150002,6.360000000000003,9.312825,4610,2680,0.090545654296875,0.0198571681976318,2025-07-16
4393_136_000,trestle,14,6,84,84.0,14.150002,6.360000999999997,9.313323999999998,4731,2706,0.09112548828125,0.018306016921997,2025-07-16
4393_20F,crane,19,51,969,969.0,18.60089099999999,51.041952,31.814998,104374,60651,1.7362213134765625,0.2504489421844482,2025-09-10
4393_20G,crane,21,51,1071,1071.0,21.084900000000005,51.050003,31.814998,125519,80399,2.383773803710937,0.3357052803039551,2025-12-31
4393_20H,crane,35,51,1785,1785.0,34.92010500000001,51.038782,21.259468,203259,124700,3.768020629882813,0.5734035968780518,2025-12-31
4393_20K,crane,19,51,969,969.0,19.398056000000025,51.050003,31.81146,102125,62744,1.8882904052734373,0.2573270797729492,2025-10-15
4393_20L,crane,21,51,1071,1071.0,20.88845799999996,51.050003,31.810999,153628,93373,2.85711669921875,0.4011750221252441,2025-10-15
4393_20Y,crane,98,51,4998,4998.0,98.366012,51.050003,31.814998,705742,449093,13.077560424804688,3.741349458694458,2025-10-22
4393_213_000,trestle,22,25,550,550.0,21.875884999999982,24.550562,6.127809999999999,33076,20149,0.7245635986328125,0.1004302501678466,2025-10-01
4393_283_000,trestle,22,13,286,286.0,21.878693,13.079814,6.786603,16289,9923,0.321441650390625,0.0425465106964111,2025-10-01
4393_293_000,trestle,22,13,286,286.0,21.878693,13.079815,6.787528000000001,16145,9840,0.32470703125,0.0409064292907714,2025-10-01
